Gene ID	Log2Ratio	p-value	Max RPKM
NM_014244	8.71	2.31E-01	17038.43
NM_025003	-4.68	7.99E-02	320.12
NM_014243	3.18	1.89E-01	5423.50
NM_005099	4.48	1.96E-01	11017.95
NM_007038	7.48	3.43E-01	21847.00
NM_197941	8.49	2.76E-02	20050.05
NM_014272	2.02	1.94E-01	6916.61
NM_007037	0.86	5.88E-01	115.39
NM_182920	4.49	2.58E-01	6733.21
NM_001040272	6.39	9.06E-02	7823.62
NM_052866	11.28	1.10E-01	1679.15
NM_001145320	-0.72	1.87E-01	111.69
NM_014694	2.93	1.42E-01	7.64
NM_207517	-3.95	6.88E-02	3184.72
NM_019032	2.05	3.11E-01	5057.12
NM_025008	2.75	2.34E-01	3406.14
NM_213604	0.81	2.32E-01	1195.79
NM_006869	-4.09	4.75E-02	4575.98
NM_018404	-1.70	4.99E-02	327.87
NM_015840	-0.94	1.82E-01	95201.15
NM_001111	-0.67	1.82E-01	120857.53
NM_001025107	-0.42	2.12E-01	95625.92
NM_015841	0.09	9.08E-01	15237.11
NR_027672	-0.52	6.10E-01	170.83
NM_015834	-0.13	8.89E-01	3089.59
NM_001112	0.17	8.58E-01	7811.82
NM_001160230	0.45	6.35E-01	3200.76
NR_027673	1.40	2.56E-01	2888.37
NM_015833	1.88	3.31E-01	11900.49
NR_027674	1.94	3.91E-01	913.40
NM_018702	-6.26	1.78E-01	65.52
NM_001098830	-3.87	3.42E-01	29.11
NM_012091	-1.06	4.38E-02	1835.40
NM_182503	1.38	2.14E-02	9817.69
NM_138422	0.27	7.03E-01	1932.16
NM_052998	0.12	8.96E-01	53.61
NM_020421	-1.17	7.54E-02	5735.15
NM_001142545	-0.28	5.99E-01	418.18
NM_052853	-0.73	1.94E-02	21094.57
NM_020247	-0.56	3.50E-01	9368.50
NM_024876	-1.35	1.62E-02	6131.15
NM_001142555	-0.51	1.65E-01	3924.33
NM_174922	-0.36	3.93E-01	5996.69
NM_021116	-6.59	2.94E-01	111400.43
NM_018417	-2.02	2.70E-01	37.49
NR_026938	0.64	3.75E-01	282.93
NM_020546	-5.11	7.94E-02	116.31
NM_004036	0.54	5.20E-01	26589.39
NM_139247	-5.00	4.61E-02	16.99
